meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,swim_time_as_time,alt_adjust_flag,converted_time_flag,elig_period_code,standard_name,RANK,full_desc_intl,fina_points,meet_city,country_code,time_is_for_ineligible_secondary_team_yn
"2016 Australian Champs","23.84","4/13/2016","50 Freestyle LCM Female","AUS","Australia","Campbell, Cate","F","5/20/1992","55","1/1/1900 12:00:23 AM","","","","""A""","1","50 Metres Freestyle Female LC","986","Adelaide","AUS","N"
"LEN European Aquatics Champs","24.07","5/16/2016","50 Freestyle LCM Female","NED","Netherlands","Kromowidjojo, Ranomi","F","8/20/1990","55","1/1/1900 12:00:24 AM","","","","""A""","2","50 Metres Freestyle Female LC","958","London","GBR","N"
"2016 ST Arena Pro Swim at Austin","24.17","1/16/2016","50 Freestyle LCM Female","SWE","Sweden","Sjostrom, Sarah","F","8/17/1993","55","1/1/1900 12:00:24 AM","","","","""A""","3","50 Metres Freestyle Female LC","946","Austin","USA","N"
"LEN European Aquatics Champs","24.21","5/16/2016","50 Freestyle LCM Female","GBR","Great Britain","Halsall, Fran","F","4/12/1990","55","1/1/1900 12:00:24 AM","","","","""A""","4","50 Metres Freestyle Female LC","941","London","GBR","N"
"2016 Australian Champs","24.24","4/13/2016","50 Freestyle LCM Female","AUS","Australia","Campbell, Bronte","F","5/14/1994","55","1/1/1900 12:00:24 AM","","","","""A""","5","50 Metres Freestyle Female LC","938","Adelaide","AUS","N"
"2016 Charlotte PSS","24.43","5/14/2016","50 Freestyle LCM Female","CAN","Canada","Van Landeghem, Chantal","F","3/5/1994","55","1/1/1900 12:00:24 AM","","","","""A""","6","50 Metres Freestyle Female LC","916","Charlotte","USA","N"
"2016 Mesa PSS","24.45","4/15/2016","50 Freestyle LCM Female","USA","United States","Kennedy, Madison","F","12/22/1987","55","1/1/1900 12:00:24 AM","","","","""A""","7","50 Metres Freestyle Female LC","914","Mesa","USA","N"
"Danish Open 2016","24.47","4/15/2016","50 Freestyle LCM Female","DEN","Denmark","Blume, Pernille","F","5/14/1994","55","1/1/1900 12:00:24 AM","","","","""A""","8","50 Metres Freestyle Female LC","911","Copenhagen","DEN","N"
"Open Championship of The Republic of Belarus  ","24.52","4/23/2016","50 Freestyle LCM Female","BLR","Belarus","Herasimenia, Aliaksandra","F","12/31/1985","55","1/1/1900 12:00:24 AM","","","","""A""","9","50 Metres Freestyle Female LC","906","Brest","BLR","N"
"2016 CHN National Championships ","24.53","4/3/2016","50 Freestyle LCM Female","CHN","China","Chen, Xinyi","F","1/2/1998","55","1/1/1900 12:00:24 AM","","","","""A""","10","50 Metres Freestyle Female LC","905","Foshan","CHN","N"
"Championnats de France Elite","24.59","3/31/2016","50 Freestyle LCM Female","FRA","France","Santamans, Anna","F","4/25/1993","55","1/1/1900 12:00:24 AM","","","","""A""","11","50 Metres Freestyle Female LC","898","Montpellier","FRA","N"
"LEN European Aquatics Champs","24.61","5/16/2016","50 Freestyle LCM Female","DEN","Denmark","Ottesen, Jeanette","F","12/30/1987","55","1/1/1900 12:00:24 AM","","","","""A""","12","50 Metres Freestyle Female LC","896","London","GBR","N"
"Maria Lenk Trophy - Test Event","24.64","4/20/2016","50 Freestyle LCM Female","BRA","Brazil","Medeiros, Etiene","F","5/24/1991","55","1/1/1900 12:00:24 AM","","","","""A""","13","50 Metres Freestyle Female LC","893","Rio de Janeiro","BRA","N"
"German Championships","24.66","5/5/2016","50 Freestyle LCM Female","GER","Germany","Brandt, Dorothea","F","3/5/1984","55","1/1/1900 12:00:24 AM","","","","""A""","14","50 Metres Freestyle Female LC","891","Berlin","GER","N"
"2016 Mesa PSS","24.69","4/15/2016","50 Freestyle LCM Female","USA","United States","Vollmer, Dana","F","11/13/1987","55","1/1/1900 12:00:24 AM","","","","""A""","15","50 Metres Freestyle Female LC","887","Mesa","USA","N"
"2016 Mesa PSS","24.72","4/15/2016","50 Freestyle LCM Female","USA","United States","Weitzeil, Abbey","F","12/3/1996","55","1/1/1900 12:00:24 AM","","","","""A""","16","50 Metres Freestyle Female LC","884","Mesa","USA","N"
"2016 CHN National Championships ","24.75","4/3/2016","50 Freestyle LCM Female","CHN","China","Liu, Xiang","F","9/1/1996","55","1/1/1900 12:00:24 AM","","","","""A""","17","50 Metres Freestyle Female LC","881","Foshan","CHN","N"
